,Unnamed: 0,comment
0,0,Mbak mau nanya. Untuk breakfastnya anak2 kena berapa ya di Tentrem Smg?
1,1,BEDEPURRR
2,2,Kalo bawa anak umur 8 dan 4 th kena charge ga si?pengin ajak keluarga stay disini
3,3,"Bocan, nnti Tentrem ada di Alam Sutera. Tapi belum jadi 😢"
4,4,❤❤❤
5,5,Jadi ikut bangga jadi pemegang saham sidomuncul 😊
6,6,❤BAGUS.  Murah.         Good jobs.    From Boise Idaho usa
7,7,mantab sekali
8,8,Paling suka dari sini terutama jamu karena Tentrem Hotels & Resorts ini kepunyaan SidoMuncul Group yang selalu aku support dari lama karena jamunya enak2.
9,9,2 x nginep di hotel Marina bay singapur tp ttp klah jauh SMA hotel di negara sendiri ☺️the best negeri sendiri
10,10,Sudah saya coba tinggal 3 malam disana dan mantap. Saya rekomendasikan dgn 100%
11,11,Makanannya halal ga mba ? Soalnya kan ada chinese food.
12,12,Lift nya kyk ex kantor aku di wisma GKBI
13,13,Bocan ini ga ada kolam anak y
14,14,Pengin Healing di Hotel Tentrem 🤔
15,15,"Pernah ke Hotel Tentrem Jogja ambil paket buka puasa disana, emg enak banget makanannya dan sangat banyak pilihan menunya"
16,16,Kak bocan apartemennya apk jg disewain ya kak
17,17,Thanks utk info nya mantapp ....👍👍 maju terus ya bocan chanel  👌
18,18,"Hotel yang ada live musik nya,kalau ndak ada live musik nya , umpama masakan hambar rasa nya/ kayak hotel bisu/ kurang hidup?"
19,19,Aku udah pernah nginap
20,20,"Thanks bocan reviewnya. Salah satu motivasi nginep di sini buat buktiin rating 10/10 breakfastnya, proven 😁👍"
21,21,Surabaya donk bocan
22,22,jogja lagi
23,23,Kolamnya bagus bgt ya kak.. enak bgt tuh buat berenang
24,24,Wow mantepp bangettt😍
25,25,"Cobain sheraton lampung kak, hotel legend nya lampung"
26,26,Cakepp
27,27,Pernah kerja di sini
28,28,Wih sangat bermanfaat bagi saya👍
29,29,"Deasiner,, cina ,, owner china,, pengunjung indo,, kita kan profinsi mereka 🤣🤣"
30,30,Hotel Soll Marina bangka
31,31,Bocan bobo cantik orang bobo nggak ada yang cantik ada yang mulutnya mangap
32,32,"Kak hal terpenting saat review hotel tuh harga + cara dapetin promonya ya kak maohon disertakan .. 
Sekedar saran 😅🙏"
33,33,"1,5jt mah worthed banget dengan fasilitas hotel se-bening ini,, se keren ini.. kereeenn bocan sampe bilang breakfastnya terbaik.. 😍tapi Tentrem belum ada di bandung yaa.. hihihi..   thankyou bocan, the best pokoknya.. 🙏"
34,34,ingatlah untuk selalu me
35,35,ingatlah untuk selalu memberikan komentar yang
36,36,horeeee jakuzi!🤣!!!!!!!!!!!
37,37,bibirnya bedarah?
38,38,Kapan2  bisa nyoba hotel di Kota Kecil .. Kota Rembang Jawa Tengah.. ada  POLLOS hotel & gallery.. tepi pantai utara..
39,39,Makasih ya kakak..telah merekomendasi kota sy Semarang..
40,40,PENGEN NGINEP TP ADA ANJING DI RUMAHKU ✨😭
41,41,Murah yah per mlmnya?🙉
42,42,Makasih bocan. Aku suka banget cara bocan ngreview hotel. Dan jadi salah satu inspirasiku
43,43,Berapa biaya masuknya
44,44,Sotooo bokoraaan bukan bangkong. Yg terkenal bokoran itu tulisannya bokoran 🤣
45,45,Keren bgt viewnya. Pemandangannya kesenjangan sosial
46,46,gak suka kalo ada unsur unsur cinanya!
47,47,Ke hotel yk di banyuwangi dong
48,48,Harga per malam berapa ka?
49,49,Maaantaap....
50,50,"Semangat bocan, dikit lagi 100k subs"
51,51,Itu di mana ya kk...riviu hotel yg elit dekat bandara donk kk.
52,52,Keren sekali bocan
53,53,daerah mana??
54,54,"Setujuu kak, breakfast nya Tentrem gk ada dua😍"
55,55,Kereeeeennnnnnn bgt 🥰
