Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,comment,sentiment
0,0,0,mbak mau nanya untuk breakfastnya anak2 kena berapa ya di tentrem smg,netral
1,1,1,bedepurrr,netral
2,2,2,kalo bawa anak umur 8 dan 4 th kena charge ga sipengin ajak keluarga stay disini,netral
3,3,3,bocan nnti tentrem ada di alam sutera tapi belum jadi ,netral
4,4,4,,netral
5,5,5,jadi ikut bangga jadi pemegang saham sidomuncul ,netral
6,6,6,bagus  murah         good jobs    from boise idaho usa,positif
7,7,7,mantab sekali,netral
8,8,8,paling suka dari sini terutama jamu karena tentrem hotels  resorts ini kepunyaan sidomuncul group yang selalu aku support dari lama karena jamunya enak2,netral
9,9,9,2 x nginep di hotel marina bay singapur tp ttp klah jauh sma hotel di negara sendiri the best negeri sendiri,positif
10,10,10,sudah saya coba tinggal 3 malam disana dan mantap saya rekomendasikan dgn 100,netral
11,11,11,makanannya halal ga mba  soalnya kan ada chinese food,netral
12,12,12,lift nya kyk ex kantor aku di wisma gkbi,netral
13,13,13,bocan ini ga ada kolam anak y,netral
14,14,14,pengin healing di hotel tentrem ,netral
15,15,15,pernah ke hotel tentrem jogja ambil paket buka puasa disana emg enak banget makanannya dan sangat banyak pilihan menunya,netral
16,16,16,kak bocan apartemennya apk jg disewain ya kak,netral
17,17,17,thanks utk info nya mantapp  maju terus ya bocan chanel  ,positif
18,18,18,hotel yang ada live musik nyakalau ndak ada live musik nya  umpama masakan hambar rasa nya kayak hotel bisu kurang hidup,positif
19,19,19,aku udah pernah nginap,netral
20,20,20,thanks bocan reviewnya salah satu motivasi nginep di sini buat buktiin rating 1010 breakfastnya proven ,positif
21,21,21,surabaya donk bocan,netral
22,22,22,jogja lagi,netral
23,23,23,kolamnya bagus bgt ya kak enak bgt tuh buat berenang,netral
24,24,24,wow mantepp bangettt,positif
25,25,25,cobain sheraton lampung kak hotel legend nya lampung,netral
26,26,26,cakepp,netral
27,27,27,pernah kerja di sini,netral
28,28,28,wih sangat bermanfaat bagi saya,netral
29,29,29,deasiner cina  owner china pengunjung indo kita kan profinsi mereka ,netral
30,30,30,hotel soll marina bangka,netral
31,31,31,bocan bobo cantik orang bobo nggak ada yang cantik ada yang mulutnya mangap,netral
32,32,32,kak hal terpenting saat review hotel tuh harga  cara dapetin promonya ya kak maohon disertakan  sekedar saran ,netral
33,33,33,15jt mah worthed banget dengan fasilitas hotel sebening ini se keren ini kereeenn bocan sampe bilang breakfastnya terbaik tapi tentrem belum ada di bandung yaa hihihi   thankyou bocan the best pokoknya ,positif
34,34,34,ingatlah untuk selalu me,netral
35,35,35,ingatlah untuk selalu memberikan komentar yang,netral
36,36,36,horeeee jakuzi,netral
37,37,37,bibirnya bedarah,netral
38,38,38,kapan2  bisa nyoba hotel di kota kecil  kota rembang jawa tengah ada  pollos hotel  gallery tepi pantai utara,netral
39,39,39,makasih ya kakaktelah merekomendasi kota sy semarang,netral
40,40,40,pengen nginep tp ada anjing di rumahku ,netral
41,41,41,murah yah per mlmnya,netral
42,42,42,makasih bocan aku suka banget cara bocan ngreview hotel dan jadi salah satu inspirasiku,netral
43,43,43,berapa biaya masuknya,netral
44,44,44,sotooo bokoraaan bukan bangkong yg terkenal bokoran itu tulisannya bokoran ,netral
45,45,45,keren bgt viewnya pemandangannya kesenjangan sosial,netral
46,46,46,gak suka kalo ada unsur unsur cinanya,netral
47,47,47,ke hotel yk di banyuwangi dong,netral
48,48,48,harga per malam berapa ka,netral
49,49,49,maaantaap,netral
